1. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_0.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
30. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_124.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
31. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_125.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
32. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_126.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
33. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_127.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
34. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_128.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
35. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_129.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
36. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_13.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
37. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_130.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
38. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_131.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
39. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_132.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
40. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_133.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
41. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_134.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
42. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_135.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
43. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_136.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
44. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_137.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
45. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_138.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
46. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_139.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
47. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_14.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
48. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_140.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
49. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_141.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
50. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_142.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
51. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_143.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
52. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_144.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
53. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_145.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
54. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_146.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
55. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_147.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
56. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_148.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
57. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_149.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
58. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_15.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
59. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_150.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
60. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_151.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
61. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_152.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
62. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_153.png, Geniþlik: 1224 piksel, Yükseklik: 370 piksel
63. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_154.png, Geniþlik: 1238 piksel, Yükseklik: 374 piksel
64. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_155.png, Geniþlik: 1238 piksel, Yükseklik: 374 piksel
65. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_156.png, Geniþlik: 1238 piksel, Yükseklik: 374 piksel
66. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_157.png, Geniþlik: 1238 piksel, Yükseklik: 374 piksel
67. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_158.png, Geniþlik: 1238 piksel, Yükseklik: 374 piksel
68. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_159.png, Geniþlik: 1238 piksel, Yükseklik: 374 piksel
69. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_16.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
70. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_160.png, Geniþlik: 1238 piksel, Yükseklik: 374 piksel
71. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_161.png, Geniþlik: 1238 piksel, Yükseklik: 374 piksel
72. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_162.png, Geniþlik: 1238 piksel, Yükseklik: 374 piksel
73. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_163.png, Geniþlik: 1238 piksel, Yükseklik: 374 piksel
74. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_164.png, Geniþlik: 1241 piksel, Yükseklik: 376 piksel
75. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_165.png, Geniþlik: 1241 piksel, Yükseklik: 376 piksel
76. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_166.png, Geniþlik: 1241 piksel, Yükseklik: 376 piksel
77. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_167.png, Geniþlik: 1241 piksel, Yükseklik: 376 piksel
78. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_168.png, Geniþlik: 1241 piksel, Yükseklik: 376 piksel
79. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_169.png, Geniþlik: 1241 piksel, Yükseklik: 376 piksel
80. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_17.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
81. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_170.png, Geniþlik: 1241 piksel, Yükseklik: 376 piksel
82. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_171.png, Geniþlik: 1241 piksel, Yükseklik: 376 piksel
83. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_172.png, Geniþlik: 1241 piksel, Yükseklik: 376 piksel
84. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_173.png, Geniþlik: 1241 piksel, Yükseklik: 376 piksel
85. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_174.png, Geniþlik: 1241 piksel, Yükseklik: 376 piksel
86. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_18.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
87. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_19.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
88. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_2.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
89. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_20.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
90. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_21.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
91. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_22.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
92. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_23.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
93. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_24.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
94. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_25.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
95. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_26.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
96. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_27.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
97. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_28.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
98. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_29.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
99. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_3.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
100. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_30.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
101. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_31.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
102. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_32.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
103. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_33.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
104. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_34.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
105. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_35.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
106. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_36.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
107. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_37.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
108. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_38.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
109. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_39.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
110. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_4.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
111. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_40.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
112. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_41.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
113. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_42.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
114. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_43.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
115. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_44.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
116. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_45.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
117. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_46.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
118. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_47.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
119. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_48.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
120. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_49.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
121. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_5.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
122. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_50.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
123. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_51.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
124. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_52.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
125. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_53.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
126. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_54.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
127. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_55.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
128. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_56.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
129. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_57.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
130. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_58.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
131. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_59.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
132. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_6.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
133. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_60.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
134. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_61.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
135. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_62.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
136. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_63.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
137. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_64.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
138. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_65.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
139. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_66.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
140. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_67.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
141. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_68.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
142. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_69.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
143. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_7.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
144. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_70.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
145. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_71.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
146. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_72.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
147. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_73.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
148. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_74.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
149. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_75.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
150. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_76.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
151. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_77.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
152. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_78.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
153. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_79.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
154. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_8.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
155. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_80.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
156. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_81.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
157. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_82.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
158. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_83.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
159. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_84.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
160. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_85.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
161. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_86.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
162. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_87.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
163. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_88.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
164. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_89.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
165. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_9.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
166. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_90.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
167. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_91.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
168. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_92.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
169. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_93.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
170. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_94.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
171. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_95.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
172. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_96.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
173. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_97.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
174. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_98.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
175. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_99.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
En büyük resim: C:/Users/Mert/Desktop/VISEA/Train/Images\train_0.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
En küçük resim: C:/Users/Mert/Desktop/VISEA/Train/Images\train_153.png, Geniþlik: 1224 piksel, Yükseklik: 370 piksel
